path,label
cls_dataset/images/202308895__0002.png,0
cls_dataset/images/202308895__0003.png,0
cls_dataset/images/202308895__0004.png,0
cls_dataset/images/202308895__0005.png,0
cls_dataset/images/202308895__0006.png,0
cls_dataset/images/202308895__0007.png,0
cls_dataset/images/202308895__0008.png,0
cls_dataset/images/202308895__0009.png,0
cls_dataset/images/202308895__0010.png,0
cls_dataset/images/202308895__0011.png,0
cls_dataset/images/202308895__0012.png,0
cls_dataset/images/202308895__0013.png,0
cls_dataset/images/202308895__0014.png,0
cls_dataset/images/202308895__0015.png,0
cls_dataset/images/202308895__0016.png,0
cls_dataset/images/202308895__0017.png,0
cls_dataset/images/202308895__0018.png,0
cls_dataset/images/202308895__0019.png,0
cls_dataset/images/202308895__0021.png,0
cls_dataset/images/202308895__0022.png,0
cls_dataset/images/202308895__0023.png,0
cls_dataset/images/202308895__0024.png,0
cls_dataset/images/202308895__0025.png,0
cls_dataset/images/202308895__0026.png,6
cls_dataset/images/202308895__0027.png,0
cls_dataset/images/202308895__0028.png,0
cls_dataset/images/202308895__0029.png,0
cls_dataset/images/202308895__0030.png,0
cls_dataset/images/202308895__0031.png,6
cls_dataset/images/202308895__0032.png,0
cls_dataset/images/202308895__0033.png,1
cls_dataset/images/202308895__0034.png,0
cls_dataset/images/202308895__0035.png,2
cls_dataset/images/202308895__0036.png,1
cls_dataset/images/202308895__0037.png,0
cls_dataset/images/202308895__0038.png,1
cls_dataset/images/202308895__0039.png,0
cls_dataset/images/202308895__0040.png,1
cls_dataset/images/202308895__0041.png,1
cls_dataset/images/202308895__0042.png,1
cls_dataset/images/202308895__0043.png,1
cls_dataset/images/202308895__0044.png,0
cls_dataset/images/202308895_2__0000.png,0
cls_dataset/images/202308895_2__0001.png,0
cls_dataset/images/202308895_2__0002.png,0
cls_dataset/images/202308895_2__0003.png,0
cls_dataset/images/202308895_2__0004.png,0
cls_dataset/images/202308895_2__0005.png,0
cls_dataset/images/202308895_2__0006.png,0
cls_dataset/images/202308895_2__0008.png,0
cls_dataset/images/202308895_2__0009.png,0
cls_dataset/images/202308895_2__0010.png,0
cls_dataset/images/202308895_2__0011.png,0
cls_dataset/images/202308895_2__0012.png,0
cls_dataset/images/202308895_2__0013.png,0
cls_dataset/images/202308895_2__0014.png,0
cls_dataset/images/202308895_2__0015.png,0
cls_dataset/images/202308895_2__0016.png,0
cls_dataset/images/202308895_2__0017.png,0
cls_dataset/images/202308895_2__0018.png,6
cls_dataset/images/202308895_2__0019.png,0
cls_dataset/images/202308895_2__0020.png,0
cls_dataset/images/202308895_2__0021.png,0
cls_dataset/images/202308895_2__0022.png,0
cls_dataset/images/202308895_2__0023.png,6
cls_dataset/images/202308895_2__0024.png,6
cls_dataset/images/202308895_2__0025.png,0
cls_dataset/images/202308895_2__0026.png,0
cls_dataset/images/202308895_2__0027.png,0
cls_dataset/images/202308895_2__0028.png,0
cls_dataset/images/202308895_2__0029.png,1
cls_dataset/images/202308895_2__0030.png,6
cls_dataset/images/202308895_2__0031.png,3
cls_dataset/images/202308895_2__0032.png,3
cls_dataset/images/202308895_2__0033.png,1
cls_dataset/images/202308895_2__0034.png,1
cls_dataset/images/202308895_2__0035.png,1
cls_dataset/images/202308895_2__0037.png,1
cls_dataset/images/202308895_2__0038.png,1
cls_dataset/images/202308895_2__0039.png,0
cls_dataset/images/202308895_2__0040.png,0
cls_dataset/images/202308895_2__0041.png,0
cls_dataset/images/202308895_3__0000.png,0
cls_dataset/images/202308895_3__0001.png,0
cls_dataset/images/202308895_3__0002.png,0
cls_dataset/images/202308895_3__0003.png,0
cls_dataset/images/202308895_3__0004.png,0
cls_dataset/images/202308895_3__0005.png,0
cls_dataset/images/202308895_3__0006.png,0
cls_dataset/images/202308895_3__0007.png,0
cls_dataset/images/202308895_3__0008.png,0
cls_dataset/images/202308895_3__0009.png,0
cls_dataset/images/202308895_3__0010.png,0
cls_dataset/images/202308895_3__0011.png,0
cls_dataset/images/202308895_3__0012.png,0
cls_dataset/images/202308895_3__0013.png,0
cls_dataset/images/202308895_3__0014.png,0
cls_dataset/images/202308895_3__0015.png,0
cls_dataset/images/202308895_3__0016.png,0
cls_dataset/images/202308895_3__0017.png,0
cls_dataset/images/202308895_3__0018.png,0
cls_dataset/images/202308895_3__0019.png,0
cls_dataset/images/202308895_3__0020.png,0
cls_dataset/images/202308895_3__0021.png,0
cls_dataset/images/202308895_3__0022.png,0
cls_dataset/images/202308895_3__0023.png,6
cls_dataset/images/202308895_3__0024.png,0
cls_dataset/images/202308895_3__0025.png,6
cls_dataset/images/202308895_3__0026.png,0
cls_dataset/images/202308895_3__0027.png,0
cls_dataset/images/202308895_3__0028.png,0
cls_dataset/images/202308895_3__0029.png,0
cls_dataset/images/202308895_3__0030.png,0
cls_dataset/images/202308895_3__0031.png,6
cls_dataset/images/202308895_3__0032.png,0
cls_dataset/images/202308895_3__0035.png,1
cls_dataset/images/202308895_3__0036.png,1
cls_dataset/images/202308895_3__0037.png,1
cls_dataset/images/202308895_3__0038.png,1
cls_dataset/images/202308895_3__0039.png,1
cls_dataset/images/202308895_3__0040.png,1
cls_dataset/images/202308895_3__0041.png,1
cls_dataset/images/202308895_3__0042.png,0
cls_dataset/images/202308895_3__0043.png,1
cls_dataset/images/202308895_3__0044.png,1
cls_dataset/images/202308895_3__0045.png,1
cls_dataset/images/202308895_3__0047.png,0
cls_dataset/images/202308895_3__0048.png,0
cls_dataset/images/202308895_3__0049.png,0
cls_dataset/images/202308895_3__0050.png,0
cls_dataset/images/202308895_4__0000.png,0
cls_dataset/images/202308895_4__0001.png,0
cls_dataset/images/202308895_4__0002.png,0
cls_dataset/images/202308895_4__0003.png,0
cls_dataset/images/202308895_4__0005.png,0
cls_dataset/images/202308895_4__0009.png,0
cls_dataset/images/202308895_4__0016.png,6
cls_dataset/images/202308895_4__0025.png,0
cls_dataset/images/202308895_4__0026.png,0
cls_dataset/images/202308896__0000.png,0
cls_dataset/images/202308896__0001.png,0
cls_dataset/images/202308896__0004.png,0
cls_dataset/images/202308896__0005.png,0
cls_dataset/images/202308896__0006.png,0
cls_dataset/images/202308896__0007.png,0
cls_dataset/images/202308896__0009.png,0
cls_dataset/images/202308896__0010.png,0
cls_dataset/images/202308896__0011.png,0
cls_dataset/images/202308896__0012.png,3
cls_dataset/images/202308896__0013.png,0
cls_dataset/images/202308896__0014.png,0
cls_dataset/images/202308896__0015.png,0
cls_dataset/images/202308896__0017.png,3
cls_dataset/images/202308896__0019.png,2
